N,P,K,temperature,humidity,pH,rainfall,label,category
67.82,55.15,82.96,24.28,64.02,6.34,108.02,Mandarin,Fruits
96.78,45.17,124.45,13.63,73.69,6.33,85.14,Broccoli,Vegetables
33.94,49.77,39.58,29.18,69.63,6.83,82.26,Green Gram,Pulses & Legumes
68.84,21.1,66.13,29.51,82.04,5.89,82.07,Bottle Gourd,Vegetables
93.78,28.15,104.29,25.67,76.04,6.05,127.97,Taro,Vegetables
97.23,65.04,53.11,27.76,89.18,7.13,165.12,Rice,Cereals & Grains
23.78,58.79,28.24,22.63,73.94,6.29,99.04,Black Gram,Pulses & Legumes
67.11,33.88,51.59,23.63,74.57,7.16,95.9,Basil,Spices & Herbs
84.21,40.14,60.12,19.53,56.32,6.89,88.17,Apple,Fruits
30.17,59.52,68.11,35.69,76.12,6.14,126.72,Peanut,Pulses & Legumes
73.67,57.82,87.01,27.55,74.43,5.75,134.59,Longan,Fruits
81.49,60.9,64.33,23.42,67.07,6.46,56.34,Swiss Chard,Vegetables
62.31,48.52,64.25,17.06,48.23,6.97,103.2,Grapes,Fruits
65.08,28.01,76.71,17.01,68.53,7.01,63.46,Bottle Gourd,Vegetables
72.68,51.6,74.7,13.56,60.71,7.63,37.92,Celery Root,Vegetables
84.61,55.56,55.74,28.53,60.32,6.98,73.44,Hemp,Fiber Crops
19.9,39.35,39.46,23.94,46.02,7.41,66.81,Cowpea,Pulses & Legumes
99.83,56.93,63.19,22.54,75.35,6.31,62.42,Chilli,Spices & Herbs
37.95,45.56,85.79,21.98,67.95,6.74,80.36,Alfalfa,Fodder Crops
70.59,42.01,77.96,30.94,83.14,6.39,93.96,Orange,Fruits
77.18,34.33,77.05,22.51,73.29,7.57,55.25,Cucumber,Vegetables
69.84,37.55,77.52,38.42,83.9,6.48,110.76,Litchi,Fruits
111.51,29.82,83.94,26.61,60.29,6.48,124.07,Napier Grass,Fodder Crops
63.84,63.13,70.5,12.63,65.18,7.3,127.88,Pear,Fruits
78.33,59.55,80.94,30.49,77.66,6.69,54.6,Cucumber,Vegetables
37.47,37.69,38.2,30.05,20.0,7.94,45.53,Neem,Plantation Crops
67.02,47.5,67.79,6.31,67.32,7.24,77.08,Plum,Fruits
55.44,33.09,46.75,19.45,71.73,6.5,79.63,Dill,Spices & Herbs
13.77,51.32,72.54,19.37,68.35,6.8,82.57,Peanut,Pulses & Legumes
101.95,53.91,47.85,27.38,70.3,6.72,144.33,Rice,Cereals & Grains
72.52,33.98,94.0,25.72,80.92,6.27,197.13,Mangosteen,Fruits
63.17,33.59,60.5,30.23,82.25,6.86,114.79,Ridgegourd,Vegetables
73.84,33.6,64.58,31.63,73.47,6.28,72.76,Bottle Gourd,Vegetables
68.28,49.42,45.47,10.82,41.05,6.46,68.18,Mustard,Oilseeds
38.38,29.52,23.36,17.26,49.16,8.26,41.76,Ajwain,Spices & Herbs
77.08,45.75,86.19,27.75,69.28,6.31,103.81,Papaya,Fruits
87.47,55.13,112.95,18.94,73.78,7.35,60.74,Beetroot,Vegetables
54.49,41.8,76.15,20.61,70.83,7.42,69.14,Mint,Spices & Herbs
60.94,27.16,81.6,10.2,51.53,6.27,57.56,Endive,Vegetables
44.71,30.87,35.61,24.98,64.93,5.75,183.98,Cinnamon,Cash Crops
70.81,31.22,46.25,5.0,54.7,6.25,50.28,Rye,Cereals & Grains
126.15,113.82,93.15,18.98,71.77,4.65,98.93,Potato,Vegetables
72.19,53.53,73.87,13.05,60.61,7.68,60.42,Garlic,Vegetables
65.65,32.57,32.26,16.94,64.43,6.78,53.26,Coriander,Spices & Herbs
72.27,38.92,76.13,24.01,59.79,6.39,63.42,Tobacco,Cash Crops
19.83,38.48,53.41,13.28,51.29,6.82,32.9,Field Pea,Pulses & Legumes
73.44,42.49,80.85,29.44,76.36,4.61,132.77,Turmeric,Cash Crops
63.36,48.17,104.27,30.06,79.4,5.31,168.26,Arecanut,Plantation Crops
42.99,44.21,37.45,16.69,35.75,7.86,33.03,Cumin,Spices & Herbs
51.29,34.71,88.34,23.17,55.17,7.5,134.54,Lemon,Fruits
64.49,42.43,94.48,19.3,71.81,8.0,59.01,Mango,Fruits
79.27,35.25,40.41,10.39,59.43,5.94,67.43,Rye,Cereals & Grains
66.81,36.79,62.17,17.85,98.58,4.76,205.21,Tea,Cash Crops
29.61,27.42,30.13,23.48,24.02,6.42,37.79,Moth Bean,Pulses & Legumes
46.02,58.98,41.85,31.06,96.98,5.38,206.59,Vanilla,Cash Crops
86.74,42.28,81.56,25.99,65.27,6.31,69.14,Tobacco,Cash Crops
72.84,44.16,58.97,26.16,64.5,5.77,65.48,Tobacco,Cash Crops
48.58,40.62,16.61,13.86,25.93,7.37,52.79,Ajwain,Spices & Herbs
64.67,69.48,111.29,24.84,61.38,7.27,28.02,Garlic,Vegetables
81.49,42.05,91.19,19.29,50.12,6.5,101.22,Grapes,Fruits
80.78,35.46,31.69,31.46,43.01,6.66,56.63,Sudan Grass,Fodder Crops
29.94,63.17,31.87,15.33,63.87,6.02,66.49,Peas,Pulses & Legumes
20.31,40.73,43.12,17.73,68.15,6.73,63.13,Peas,Pulses & Legumes
83.31,54.58,92.06,17.4,73.8,6.23,64.78,Raspberry,Fruits
22.27,31.58,30.27,28.82,46.33,5.6,33.55,Moth Bean,Pulses & Legumes
100.67,47.41,42.31,28.12,70.5,7.03,315.25,Rice,Cereals & Grains
62.77,54.95,46.77,26.9,64.53,7.18,22.51,Safflower,Oilseeds
108.85,84.02,76.6,26.35,62.25,6.26,72.94,Sweet Corn,Vegetables
75.49,47.1,38.28,11.02,61.62,5.66,84.61,Oats,Cereals & Grains
16.51,49.08,44.47,20.34,51.76,6.26,44.08,Lentil,Pulses & Legumes
93.28,52.49,80.49,27.82,81.82,6.35,97.37,Yam,Vegetables
39.75,27.82,44.13,20.19,69.86,6.29,59.24,Gooseberry,Fruits
93.66,42.84,116.56,15.78,64.76,6.44,59.54,Kohlrabi,Vegetables
144.51,55.68,111.39,37.57,79.5,6.64,209.25,Sugarcane,Cash Crops
22.93,41.59,30.79,22.0,59.05,6.28,57.92,Lima Bean,Pulses & Legumes
32.84,42.52,44.37,19.17,59.98,6.2,63.23,Field Pea,Pulses & Legumes
114.81,52.5,159.48,29.68,82.24,7.01,191.75,Banana,Fruits
78.71,65.31,77.4,17.06,64.19,6.84,50.83,Apricot,Fruits
124.68,61.78,84.68,21.03,68.13,6.9,99.53,Sweet Corn,Vegetables
31.31,50.37,38.02,27.27,75.69,6.31,111.48,Black Gram,Pulses & Legumes
106.75,57.67,86.81,18.07,62.47,7.16,73.66,Cabbage,Vegetables
51.57,26.83,58.65,26.53,38.11,8.15,18.01,Date Palm,Plantation Crops
39.53,47.15,59.2,24.66,67.07,6.4,76.68,Mint,Spices & Herbs
100.05,54.57,52.59,29.48,44.31,7.4,68.56,Wheat,Cereals & Grains
120.85,102.89,109.75,16.66,59.13,5.74,89.88,Potato,Vegetables
48.84,57.54,95.79,31.89,66.13,6.4,86.43,Bitter Gourd,Vegetables
87.87,46.49,88.21,33.38,81.07,5.87,123.52,Napier Grass,Fodder Crops
50.3,30.69,48.29,22.36,76.66,5.28,267.06,Rubber,Cash Crops
63.79,39.97,47.44,32.14,75.72,6.68,101.79,Castor,Oilseeds
36.31,32.03,26.88,18.76,67.51,7.35,45.76,Dill,Spices & Herbs
69.33,43.05,29.5,27.1,38.59,7.38,92.15,Safflower,Oilseeds
58.87,35.09,37.41,22.05,54.36,6.85,48.8,Fennel,Spices & Herbs
101.36,47.53,70.12,25.11,71.87,6.81,129.94,Napier Grass,Fodder Crops
50.19,44.15,62.99,26.29,84.01,7.09,146.36,Vanilla,Cash Crops
91.92,65.35,52.08,17.0,63.55,6.67,98.2,Leek,Vegetables
83.47,60.03,91.54,22.44,67.1,5.77,166.94,Passion Fruit,Fruits
70.09,32.58,90.69,16.0,78.11,6.02,61.79,Raspberry,Fruits
49.14,31.37,41.75,27.82,67.06,6.19,41.5,Dill,Spices & Herbs
97.35,66.5,75.41,28.15,66.91,6.97,116.74,Papaya,Fruits
123.36,59.09,210.0,22.95,81.56,5.6,242.72,Oil Palm,Plantation Crops
58.25,59.92,70.25,7.86,69.14,6.55,74.0,Lettuce,Vegetables
53.12,57.17,89.43,14.03,54.19,7.33,56.41,Plum,Fruits
57.43,43.95,75.79,15.65,48.03,6.92,126.58,Apricot,Fruits
71.77,61.71,122.98,26.34,56.09,8.03,138.09,Papaya,Fruits
58.09,29.62,43.08,28.26,52.38,5.98,49.07,Sorghum,Cereals & Grains
27.42,47.55,19.03,16.91,68.65,6.46,42.8,Field Pea,Pulses & Legumes
79.19,88.07,122.33,31.2,55.3,6.35,68.15,Tomato,Vegetables
29.54,41.01,47.42,12.19,62.15,6.6,61.62,Peas,Pulses & Legumes
41.98,31.03,38.16,18.22,69.43,6.85,37.44,Fenugreek,Spices & Herbs
38.35,57.77,72.02,25.77,62.28,7.68,64.49,Alfalfa,Fodder Crops
60.39,49.51,98.74,23.81,76.33,6.72,166.19,Yam,Vegetables
90.94,57.46,90.35,15.36,67.07,7.15,59.81,Kale,Vegetables
62.81,32.2,128.97,29.64,100.0,6.94,176.21,Coconut,Fruits
58.31,59.98,58.05,5.0,67.73,6.43,46.14,Lettuce,Vegetables
64.59,49.75,128.86,11.83,53.36,6.35,48.71,Beetroot,Vegetables
87.51,50.46,79.42,32.83,49.05,6.26,79.38,Sunflower,Oilseeds
21.31,47.26,75.94,34.0,74.64,6.75,84.92,Peanut,Pulses & Legumes
74.02,55.96,72.91,31.17,74.03,6.11,105.09,Papaya,Fruits
32.35,21.16,24.38,26.54,40.06,5.97,18.46,Teff,Cereals & Grains
48.57,43.65,41.21,23.28,70.28,5.68,320.0,Nutmeg,Cash Crops
88.29,55.26,90.19,31.97,68.29,7.13,74.88,Cucumber,Vegetables
80.6,51.0,74.69,21.64,66.27,8.25,95.38,Orange,Fruits
42.86,43.0,62.91,36.92,81.66,6.95,155.32,Litchi,Fruits
54.68,16.7,34.74,29.74,67.53,6.29,65.97,Amaranth,Cereals & Grains
100.14,39.28,40.3,31.51,59.01,6.3,91.86,Sudan Grass,Fodder Crops
178.32,54.96,93.41,28.5,75.95,7.91,115.83,Sugarcane,Cash Crops
78.42,54.43,109.28,15.95,76.58,7.13,72.98,Pear,Fruits
65.51,36.82,113.28,7.84,66.91,7.5,37.69,Beetroot,Vegetables
76.93,60.97,86.95,28.44,56.15,6.14,58.5,Mango,Fruits
86.17,49.85,46.05,19.65,54.61,7.49,114.99,Mustard,Oilseeds
32.71,46.74,47.39,14.49,49.46,6.21,37.8,Field Pea,Pulses & Legumes
62.54,51.93,92.31,22.94,67.92,7.85,143.93,Pineapple,Fruits
62.74,32.7,63.59,29.1,61.85,6.37,72.64,Bottle Gourd,Vegetables
76.58,60.25,48.06,27.38,91.03,6.98,252.49,Rice,Cereals & Grains
54.79,41.96,87.72,32.77,57.32,6.09,80.68,Sweet Potato,Vegetables
105.78,75.4,97.41,25.95,64.26,6.49,77.66,Tomato,Vegetables
154.74,81.72,92.18,22.37,42.92,6.48,87.43,Maize,Cereals & Grains
68.04,49.81,81.42,19.24,79.31,6.21,66.27,Leek,Vegetables
89.89,41.14,53.08,20.26,72.34,6.15,250.16,Coffee,Cash Crops
101.44,36.33,48.75,19.38,71.85,6.99,81.08,Wheat,Cereals & Grains
34.07,20.66,53.8,44.75,57.15,7.19,72.01,Tamarind,Plantation Crops
65.71,59.78,95.73,33.67,75.17,7.14,145.58,Ginger,Cash Crops
81.74,33.19,88.87,20.84,66.95,6.87,273.96,Mangosteen,Fruits
97.49,58.94,91.87,28.1,86.95,5.91,129.21,Yam,Vegetables
65.13,62.16,56.6,14.93,45.83,6.17,78.79,Mustard,Oilseeds
61.32,33.07,48.5,38.72,67.99,5.89,57.71,Castor,Oilseeds
79.16,79.41,99.95,12.13,58.67,7.52,83.84,Asparagus,Vegetables
75.84,44.01,49.92,31.12,48.01,7.19,37.22,Sorghum,Cereals & Grains
67.72,28.8,86.08,20.89,74.02,5.56,103.06,Passion Fruit,Fruits
96.79,42.37,102.02,20.15,62.11,7.59,84.13,Cauliflower,Vegetables
99.33,44.27,99.88,25.13,81.01,6.13,98.9,Yam,Vegetables
58.42,33.7,55.06,17.29,68.98,7.25,87.9,Basil,Spices & Herbs
58.14,49.3,53.64,12.39,58.16,6.52,35.84,Radish,Vegetables
64.99,26.7,40.04,19.41,50.52,7.78,56.89,Olive,Fruits
51.1,37.37,85.56,23.1,66.85,6.96,103.63,Sweet Potato,Vegetables
35.34,58.21,30.95,22.11,57.67,6.96,75.86,Green Gram,Pulses & Legumes
88.2,42.51,91.17,30.73,71.47,6.01,163.37,Taro,Vegetables
23.79,50.76,39.71,13.52,53.74,8.04,51.29,Faba Bean,Pulses & Legumes
115.77,69.64,42.62,18.03,44.6,6.56,51.77,Canola,Oilseeds
28.88,59.18,49.08,15.9,72.7,7.04,53.3,Peas,Pulses & Legumes
75.28,40.24,36.26,30.42,76.17,8.07,212.97,Jute,Cash Crops
81.41,55.11,88.54,14.58,55.88,7.23,109.7,Pear,Fruits
109.87,53.82,81.86,28.98,77.79,6.87,121.59,Papaya,Fruits
79.45,39.16,60.72,30.58,54.93,6.53,51.23,Sudan Grass,Fodder Crops
105.7,74.13,63.57,23.23,61.55,6.82,104.52,Capsicum,Vegetables
27.83,21.9,42.41,16.98,75.57,6.91,71.24,Fenugreek,Spices & Herbs
16.89,54.84,49.68,10.97,44.83,6.12,36.93,Field Pea,Pulses & Legumes
59.76,34.52,76.63,12.81,61.04,6.87,50.81,Turnip,Vegetables
90.86,46.3,64.4,28.41,48.59,6.76,74.31,Sunflower,Oilseeds
70.81,32.02,94.98,11.56,61.33,6.56,44.23,Endive,Vegetables
67.05,51.04,80.79,27.02,87.43,6.42,68.29,Guava,Fruits
90.56,51.66,60.78,26.92,70.53,5.68,50.14,Okra,Vegetables
49.87,28.73,47.84,37.47,79.9,4.16,48.18,Moringa,Plantation Crops
21.42,47.0,62.32,12.3,68.6,6.43,98.26,Peas,Pulses & Legumes
66.67,51.29,93.27,29.72,65.25,6.2,139.08,Mandarin,Fruits
75.97,31.86,97.98,27.65,71.7,6.23,79.48,Sweet Potato,Vegetables
62.21,32.64,65.82,35.18,71.04,7.44,66.43,Bottle Gourd,Vegetables
63.99,42.81,76.65,17.85,63.19,6.72,79.22,Pumpkin,Vegetables
36.1,26.28,38.17,31.17,60.14,8.0,81.27,Cluster Bean,Vegetables
75.27,39.58,66.97,22.99,100.0,6.62,209.46,Cocoa,Plantation Crops
62.01,45.61,71.71,32.07,63.97,6.67,101.28,Mulberry,Fruits
71.26,28.34,48.35,30.3,75.46,5.37,63.63,Basil,Spices & Herbs
58.75,54.47,136.27,16.79,68.87,7.35,96.71,Kiwi,Fruits
47.01,34.72,97.33,16.58,64.34,6.85,21.34,Turnip,Vegetables
121.04,62.98,85.84,26.25,54.75,7.19,89.25,Sweet Corn,Vegetables
111.47,70.96,99.67,8.67,60.18,7.18,83.76,Asparagus,Vegetables
63.37,30.46,44.28,16.09,54.33,6.57,91.75,Mustard,Oilseeds
64.42,57.59,65.26,28.42,62.83,6.84,93.24,Muskmelon,Fruits
80.66,53.82,60.12,30.05,60.04,6.13,42.98,Kohlrabi,Vegetables
82.53,53.91,53.65,11.94,65.93,6.18,77.64,Cherry,Fruits
86.02,67.73,76.18,19.09,67.58,6.28,83.82,Capsicum,Vegetables
72.44,47.05,86.96,26.98,56.53,6.9,106.42,Orange,Fruits
21.87,56.54,41.5,27.18,44.02,7.49,47.52,Lentil,Pulses & Legumes
47.2,29.13,60.13,21.94,93.38,7.26,173.65,Vanilla,Cash Crops
131.12,83.44,111.3,25.28,78.3,6.33,94.16,Tomato,Vegetables
61.17,22.61,46.54,14.05,57.03,6.88,92.93,Linseed,Oilseeds
71.29,27.3,44.53,29.4,82.19,5.87,148.4,Rubber,Cash Crops
132.29,111.28,79.26,12.12,68.53,6.03,88.29,Potato,Vegetables
56.9,44.21,78.13,23.14,64.05,7.06,57.94,Mint,Spices & Herbs
75.25,58.92,83.75,23.55,65.86,6.99,113.05,Grapefruit,Fruits
139.88,57.63,62.73,24.37,39.06,7.01,78.55,Cotton,Cash Crops
84.81,62.44,90.21,20.2,80.83,6.83,119.15,Longan,Fruits
39.84,28.87,25.01,19.59,46.35,7.51,34.2,Cumin,Spices & Herbs
75.98,54.03,58.4,26.98,60.17,6.96,71.01,Muskmelon,Fruits
82.6,27.91,38.51,22.34,66.96,6.28,44.55,Sorghum,Cereals & Grains
74.1,33.3,83.04,19.5,67.01,7.62,101.28,Lemon,Fruits
57.92,59.02,63.34,22.37,64.29,7.06,78.99,Zucchini,Vegetables
54.8,32.47,52.5,27.05,86.99,5.69,189.77,Vanilla,Cash Crops
50.9,32.34,96.0,31.97,68.2,6.3,97.7,Fig,Fruits
24.83,25.95,24.38,32.24,62.31,6.37,32.78,Moth Bean,Pulses & Legumes
46.89,25.11,62.27,16.31,70.2,7.62,64.37,Gooseberry,Fruits
52.06,47.06,86.03,9.54,73.32,7.3,63.06,Parsnip,Vegetables
92.68,38.42,82.41,20.44,64.06,6.59,58.55,Swiss Chard,Vegetables
14.08,37.73,38.25,12.78,47.11,5.73,57.4,Field Pea,Pulses & Legumes
55.14,63.76,63.07,22.89,69.96,6.81,67.96,Zucchini,Vegetables
49.8,33.85,66.41,26.27,77.72,6.78,150.87,Persimmon,Fruits
94.67,45.42,68.46,8.51,67.09,6.71,46.21,Kale,Vegetables
86.39,66.95,70.83,26.28,56.08,7.97,139.54,Papaya,Fruits
60.78,53.21,55.86,20.87,85.34,6.13,84.93,Mint,Spices & Herbs
78.06,41.19,84.49,20.83,75.3,5.88,134.01,Longan,Fruits
99.66,41.15,79.98,26.2,54.0,5.53,136.58,Grapefruit,Fruits
28.93,53.88,36.55,16.86,43.36,5.69,31.85,Field Pea,Pulses & Legumes
70.36,35.19,87.47,13.62,64.91,6.95,53.93,Turnip,Vegetables
82.48,61.86,73.31,24.46,60.62,7.6,146.94,Papaya,Fruits
72.11,47.98,68.91,27.0,57.93,6.11,102.52,Pumpkin,Vegetables
27.61,36.19,76.13,12.34,59.19,4.39,75.25,Blueberry,Fruits
58.64,41.64,68.6,22.43,67.67,6.14,226.38,Black Pepper,Cash Crops
48.25,29.33,67.1,45.0,50.44,8.12,32.38,Date Palm,Plantation Crops
55.32,18.31,22.94,31.62,38.2,6.4,47.98,Sesame,Oilseeds
92.03,39.27,84.32,25.69,85.31,6.52,215.89,Mangosteen,Fruits
57.62,54.5,70.07,5.0,66.18,7.52,72.85,Apricot,Fruits
65.68,41.13,72.18,23.7,74.51,6.69,86.03,Jackfruit,Fruits
33.18,59.37,14.19,30.22,54.08,7.56,39.85,Alfalfa,Fodder Crops
75.2,46.77,86.95,16.36,76.2,6.58,88.13,Raspberry,Fruits
72.65,42.97,87.97,18.46,61.44,6.58,46.66,Turnip,Vegetables
50.85,41.62,74.64,36.78,73.52,5.85,96.4,Bitter Gourd,Vegetables
43.67,32.55,40.31,26.29,51.54,5.74,68.55,Dill,Spices & Herbs
84.82,24.95,93.06,31.24,81.5,6.87,191.1,Colocasia,Vegetables
107.38,67.5,62.98,26.64,37.84,6.97,75.2,Cotton,Cash Crops
56.96,26.37,34.51,21.75,55.32,6.71,51.81,Teff,Cereals & Grains
83.4,31.27,56.35,23.46,67.77,6.54,117.79,Mulberry,Fruits
99.12,79.43,103.06,10.06,62.42,7.23,68.78,Cabbage,Vegetables
22.16,32.01,42.27,17.43,61.85,6.21,58.71,Lima Bean,Pulses & Legumes
33.03,50.69,47.17,16.31,48.74,7.34,85.58,Chickpea,Pulses & Legumes
24.12,29.89,44.5,33.53,51.26,7.47,79.63,Cowpea,Pulses & Legumes
85.62,54.57,142.76,41.04,76.08,6.62,133.83,Banana,Fruits
89.3,69.69,106.27,17.78,64.69,6.23,37.06,Leek,Vegetables
57.2,35.64,41.96,32.7,66.69,6.08,78.28,Guava,Fruits
119.53,70.7,94.23,11.19,65.19,6.41,48.22,Cabbage,Vegetables
26.84,32.91,30.82,33.52,46.12,7.15,50.2,Moth Bean,Pulses & Legumes
39.92,24.83,58.0,20.97,83.5,6.11,262.66,Cardamom,Cash Crops
84.56,55.83,75.34,19.22,43.56,7.91,88.68,Apricot,Fruits
85.86,34.99,80.22,25.84,72.85,6.17,176.79,Colocasia,Vegetables
38.43,52.95,87.43,21.62,73.11,5.54,221.31,Mangosteen,Fruits
53.77,39.0,61.28,26.12,77.61,5.15,150.42,Black Pepper,Cash Crops
45.37,42.09,72.89,31.05,68.83,7.09,101.79,Pumpkin,Vegetables
79.35,37.98,53.66,20.05,63.64,6.81,69.91,Mustard,Oilseeds
98.9,49.71,60.98,22.18,40.78,6.29,91.15,Cotton,Cash Crops
48.71,18.9,23.35,18.27,39.65,5.11,45.7,Teff,Cereals & Grains
66.28,48.39,64.7,19.77,71.95,6.1,75.26,Strawberry,Fruits
115.03,62.09,107.68,17.81,81.33,7.21,152.58,Sugarcane,Cash Crops
74.64,53.7,67.97,20.45,57.11,6.26,120.21,Apricot,Fruits
67.96,50.08,87.47,32.06,71.76,6.92,106.23,Papaya,Fruits
36.07,22.75,37.67,21.26,44.12,8.18,46.93,Cumin,Spices & Herbs
75.78,54.08,106.98,14.45,60.41,7.26,83.23,Asparagus,Vegetables
35.71,41.76,39.36,20.77,50.65,7.46,38.1,Cumin,Spices & Herbs
58.46,36.87,22.06,14.49,52.89,7.37,97.08,Coriander,Spices & Herbs
81.7,59.24,95.68,10.95,52.7,6.16,90.11,Carrot,Vegetables
92.87,40.84,44.95,16.88,57.22,6.65,52.44,Barley,Cereals & Grains
97.61,53.31,92.15,8.59,75.27,7.15,25.0,Kale,Vegetables
72.61,40.09,75.44,15.34,47.63,7.31,143.14,Plum,Fruits
56.82,35.3,54.66,16.23,64.64,7.14,24.14,Dill,Spices & Herbs
68.21,32.73,94.11,25.74,71.83,6.06,109.37,Orange,Fruits
56.32,45.72,41.11,15.36,54.74,5.77,66.31,Flax,Fiber Crops
55.5,27.81,27.72,29.4,61.99,5.68,66.88,Niger Seed,Oilseeds
32.33,43.29,61.46,14.32,69.58,8.31,38.38,Berseem,Fodder Crops
63.55,35.29,115.4,26.78,62.28,6.05,83.91,Sweet Potato,Vegetables
78.88,41.89,83.27,25.98,74.6,7.09,66.44,Bottle Gourd,Vegetables
129.27,67.36,148.56,27.07,71.8,5.95,320.0,Oil Palm,Plantation Crops
72.19,64.46,72.27,24.7,50.49,7.0,43.39,Garlic,Vegetables
28.45,45.38,52.28,17.57,76.52,6.65,129.95,Gooseberry,Fruits
42.72,23.75,43.65,15.96,63.64,5.43,64.96,Dill,Spices & Herbs
92.38,66.62,84.35,26.04,53.19,6.83,90.93,Maize,Cereals & Grains
23.92,43.55,41.48,31.77,57.9,7.27,46.02,Moth Bean,Pulses & Legumes
65.33,42.22,56.31,26.69,75.3,6.64,66.37,Bottle Gourd,Vegetables
55.14,30.34,56.46,16.29,61.82,6.85,50.8,Turnip,Vegetables
95.4,48.41,48.35,7.02,56.8,6.59,72.83,Triticale,Cereals & Grains
71.04,39.94,83.85,25.54,74.01,6.64,78.92,Pineapple,Fruits
56.49,38.29,47.74,24.66,69.62,6.63,67.72,Basil,Spices & Herbs
56.85,39.66,78.39,26.07,87.08,5.74,115.73,Ridgegourd,Vegetables
19.94,25.42,32.83,25.37,35.12,6.03,30.46,Moth Bean,Pulses & Legumes
81.51,48.45,39.43,29.85,86.52,6.26,320.0,Rice,Cereals & Grains
90.89,45.84,53.44,5.0,54.22,7.03,104.04,Wheat,Cereals & Grains
22.61,50.89,69.99,28.48,67.3,6.75,93.66,Soybean,Pulses & Legumes
90.57,34.22,42.64,31.74,58.8,6.61,37.38,Sudan Grass,Fodder Crops
102.2,68.43,110.28,12.57,60.09,7.2,37.58,Brussels Sprouts,Vegetables
78.79,63.49,68.92,28.98,73.35,8.34,54.99,Okra,Vegetables
39.77,30.11,48.17,27.18,69.67,6.45,80.03,Persimmon,Fruits
69.07,59.27,114.78,27.93,89.97,7.07,105.89,Yam,Vegetables
64.74,34.21,132.85,32.68,93.02,6.67,290.67,Coconut,Fruits
70.47,36.94,32.18,29.65,46.17,7.56,81.41,Dragon Fruit,Fruits
91.37,32.36,82.75,18.82,69.55,6.65,20.28,Turnip,Vegetables
64.07,68.17,71.87,28.6,67.57,6.56,100.16,Bitter Gourd,Vegetables
50.86,32.28,66.23,36.01,39.02,7.84,34.23,Date Palm,Plantation Crops
75.35,32.51,100.15,14.49,46.57,7.5,119.32,Plum,Fruits
98.61,59.98,71.55,29.38,56.12,5.8,121.37,Grapefruit,Fruits
31.35,39.08,41.5,24.9,49.23,6.65,84.97,Dragon Fruit,Fruits
98.38,81.7,106.7,18.19,57.45,5.97,75.06,Brussels Sprouts,Vegetables
85.85,55.13,31.81,29.42,69.15,6.15,31.12,Guava,Fruits
72.53,45.36,95.75,27.53,87.31,7.31,143.99,Coconut,Fruits
88.12,39.38,103.04,14.28,58.93,7.03,81.32,Brussels Sprouts,Vegetables
56.12,27.97,28.02,15.11,53.72,7.45,62.09,Teff,Cereals & Grains
118.6,43.21,60.28,30.93,76.57,6.14,182.73,Rice,Cereals & Grains
64.48,59.22,100.63,15.57,52.8,6.14,57.11,Carrot,Vegetables
46.95,47.11,93.13,25.31,68.93,8.89,108.94,Lemon,Fruits
81.28,39.08,71.35,10.22,67.21,6.64,63.32,Lettuce,Vegetables
38.63,54.9,21.69,27.76,66.33,7.07,106.78,Pigeon Pea,Pulses & Legumes
83.77,62.25,45.13,23.66,61.27,6.92,88.18,Brinjal,Vegetables
56.74,36.21,72.33,17.0,63.25,5.94,70.45,Radish,Vegetables
108.04,78.17,94.96,20.46,54.7,6.09,104.95,Cauliflower,Vegetables
81.63,56.88,99.85,27.42,61.32,6.68,50.57,Mango,Fruits
58.19,39.26,40.19,15.64,37.81,7.36,51.44,Linseed,Oilseeds
180.0,68.7,86.91,25.05,66.46,7.42,186.18,Sugarcane,Cash Crops
56.83,65.21,92.59,11.41,61.79,5.75,65.51,Plum,Fruits
73.32,42.3,98.78,16.67,54.4,7.01,70.27,Lemon,Fruits
95.7,56.15,61.64,20.29,61.33,7.13,68.24,Sunflower,Oilseeds
49.04,66.89,74.69,32.24,71.43,6.66,59.53,Guava,Fruits
79.17,50.97,86.08,30.95,79.48,6.35,165.86,Taro,Vegetables
96.63,54.94,89.46,11.13,57.65,7.41,58.58,Asparagus,Vegetables
81.71,41.82,52.2,27.28,61.55,6.95,57.65,Muskmelon,Fruits
35.59,36.0,58.66,28.98,49.5,8.22,84.06,Chickpea,Pulses & Legumes
98.79,63.52,87.53,15.99,66.51,7.89,119.75,Avocado,Fruits
42.25,41.49,60.8,25.27,79.78,6.94,81.03,Pumpkin,Vegetables
36.68,59.88,55.78,21.85,55.4,6.78,78.01,Peas,Pulses & Legumes
85.88,49.64,84.06,13.88,67.56,7.11,91.95,Swiss Chard,Vegetables
63.31,36.66,69.11,18.4,65.46,6.65,62.34,Strawberry,Fruits
88.65,45.72,80.03,10.44,65.84,6.24,65.65,Swiss Chard,Vegetables
101.1,42.49,96.57,28.28,64.87,6.8,149.35,Papaya,Fruits
54.24,59.51,100.15,23.6,65.25,6.85,92.33,Capsicum,Vegetables
64.89,45.62,102.36,11.71,73.1,6.14,84.5,Raspberry,Fruits
76.07,31.81,54.88,12.05,64.2,8.39,64.75,Swiss Chard,Vegetables
47.72,31.84,34.53,25.16,70.88,6.43,320.0,Nutmeg,Cash Crops
47.95,43.86,102.97,15.81,39.17,7.36,69.1,Leek,Vegetables
92.59,41.44,37.06,23.04,53.99,5.74,39.22,Sudan Grass,Fodder Crops
